city,lat,lng,country,population
La Louvière,50.4667,4.1833,Belgium,80986.0
Launceston,-41.4419,147.145,Australia,80943.0
Dera Allahyar,28.4167,68.1667,Pakistan,80908.0
Gonder,12.6075,37.4592,Ethiopia,80886.0
Campo Limpo,-23.2064,-46.7844,Brazil,80847.0
Rueil-Malmaison,48.876,2.181,France,80842.0
Gaoliying Ercun,40.1578,116.4933,China,80840.0
Rafaḩ,31.282,34.2387,Egypt,80823.0
Anderson,40.0891,-85.6892,United States,80820.0
Béziers,43.3476,3.219,France,80815.0
Ahenkro,7.1146,0.3211,Ghana,80813.0
Kharan,28.5833,65.4167,Pakistan,80806.0
Yonezawa,37.9222,140.1168,Japan,80795.0
Orihuela,38.0856,-0.9469,Spain,80784.0
Shiji,23.5045,112.9345,China,80773.0
Gobernador Gálvez,-33.0256,-60.6336,Argentina,80769.0
San Francisco,8.51,125.98,Philippines,80760.0
Leme,-22.1858,-47.39,Brazil,80757.0
Malapatan,5.97,125.28,Philippines,80741.0
Homestead,25.4665,-80.4472,United States,80725.0
Balçova,38.3856,27.0581,Turkey,80721.0
Florence,34.8303,-87.6655,United States,80720.0
Barili,10.12,123.53,Philippines,80715.0
Wujindian,31.9839,112.7703,China,80714.0
Meybod,32.2456,54.0153,Iran,80712.0
Gelendzhik,44.575,38.0725,Russia,80706.0
Guercif,34.2333,-3.3667,Morocco,80703.0
Yanggao,21.3298,109.9177,China,80681.0
Rancho Cordova,38.5737,-121.2527,United States,80656.0
Morgantown,39.6383,-79.9464,United States,80626.0
Bargarh,21.3333,83.6167,India,80625.0
Curvelo,-18.7564,-44.4308,Brazil,80616.0
San Cristóbal Verapaz,15.365,-90.4792,Guatemala,80613.0
Comitancillo,15.0833,-91.7167,Guatemala,80612.0
Boynton Beach,26.5281,-80.0811,United States,80601.0
Seropédica,-22.7439,-43.7078,Brazil,80596.0
Bamberg,49.8914,10.8869,Germany,80580.0
San Ramón,10.2182,-84.5992,Costa Rica,80566.0
Somerville,42.3908,-71.1014,United States,80549.0
Edmonton,51.6154,-0.0708,United Kingdom,80546.0
Samā’il,23.2984,57.9531,Oman,80538.0
Dahegām,23.17,72.82,India,80532.0
North Port,27.0576,-82.1977,United States,80512.0
Lakewood,33.8471,-118.1222,United States,80510.0
Torre del Greco,40.7853,14.3953,Italy,80508.0
Randfontein,-26.1797,27.7042,South Africa,80492.0
Batley,53.7167,-1.6356,United Kingdom,80485.0
Ādīgala,10.4236,42.2333,Ethiopia,80440.0
Santana,-0.035,-51.175,Brazil,80439.0
Nagaoka,34.9269,135.6958,Japan,80423.0
Rājula,21.05,71.43,India,80393.0
Azov,47.1083,39.4181,Russia,80381.0
Butterworth,5.4171,100.4,Malaysia,80378.0
Tala,20.6667,-103.7,Mexico,80365.0
Antehiroka,-18.8492,47.4828,Madagascar,80360.0
Oum el Bouaghi,35.8775,7.1136,Algeria,80359.0
Cabadbaran,9.12,125.53,Philippines,80354.0
Salisbury,38.3756,-75.5865,United States,80352.0
South Jordan,40.557,-111.9784,United States,80331.0
Tagoloan,8.53,124.75,Philippines,80319.0
Kāmāreddipet,18.3205,78.337,India,80315.0
Zuwārah,32.9333,12.0833,Libya,80310.0
Bafut,6.0833,10.1,Cameroon,80305.0
Tākestān,36.0672,49.6958,Iran,80299.0
Arni,12.6677,79.2853,India,80275.0
Echizen,35.9035,136.1687,Japan,80264.0
Maravatío de Ocampo,19.8976,-100.45,Mexico,80258.0
Lívingston,15.83,-88.75,Guatemala,80249.0
Kumbo,6.205,10.685,Cameroon,80212.0
Bolpur,23.67,87.72,India,80210.0
Manresa,41.7294,1.8272,Spain,80201.0
Peruvancha,17.1719,80.5839,India,80199.0
Neumünster,54.0714,9.99,Germany,80185.0
Sint-Niklaas,51.1667,4.1333,Belgium,80167.0
Namsan,42.2275,129.2541,"Korea, North",80146.0
Parma,41.3843,-81.7286,United States,80131.0
Gumlā,23.0444,84.5417,India,80129.0
Simdega,22.62,84.52,India,80129.0
San Andrés Cholula,19.05,-98.3,Mexico,80118.0
Hannō,35.8557,139.3277,Japan,80099.0
Gandía,38.9667,-0.1833,Spain,80095.0
Cachoeira do Sul,-30.0394,-52.8953,Brazil,80070.0
Gamagōri,34.8431,137.2196,Japan,80063.0
Doğubayazıt,39.5472,44.0833,Turkey,80061.0
Manmād,20.251,74.439,India,80058.0
Goiana,-7.5606,-35.0025,Brazil,80055.0
Afşin,38.2464,36.9186,Turkey,80044.0
Koktokay,47.0004,89.4666,China,80000.0
Piro,25.33,84.42,India,80000.0
Sīra,13.745,76.909,India,80000.0
Arsikere,13.3139,76.2369,India,80000.0
Tall ‘Afar,36.3792,42.4497,Iraq,80000.0
Taldyqorghan,45.0167,78.3667,Kazakhstan,80000.0
Nabatîyé,33.3833,35.45,Lebanon,80000.0
Masallātah,32.5822,14.04,Libya,80000.0
Andahuaylas,-13.6575,-73.3833,Peru,80000.0
Kathri,26.4583,68.3192,Pakistan,80000.0
Jamshoro,25.4244,68.2811,Pakistan,80000.0
Khewra,32.65,73.0167,Pakistan,80000.0
Puerto Ayacucho,5.6631,-67.6264,Venezuela,80000.0
Scunthorpe,53.5809,-0.6502,United Kingdom,79977.0
La Rochelle,46.16,-1.15,France,79961.0
Mīt Salsīl,31.1676,31.8012,Egypt,79957.0
Jagannāthaprasād,19.97,84.77,India,79901.0
San Jose,13.8772,121.105,Philippines,79868.0
Drobeta-Turnu Severin,44.6333,22.65,Romania,79865.0
Sokcho,38.2069,128.5919,"Korea, South",79846.0
Paco,14.583,120.983,Philippines,79839.0
Kottagūdem,17.55,80.63,India,79819.0
Idah,7.0978,6.7433,Nigeria,79815.0
Marsala,37.7981,12.4342,Italy,79809.0
Pharr,26.1685,-98.1904,United States,79809.0
State College,40.7909,-77.8567,United States,79803.0
Ban Map Ta Phut,12.7258,101.1722,Thailand,79773.0
Poblacion,6.8,124.63,Philippines,79739.0
Dessau-Rosslau,51.8333,12.2333,Germany,79686.0
Piatra Neamţ,46.9275,26.3708,Romania,79679.0
Ciudad Lerdo,25.55,-103.5167,Mexico,79669.0
Tissamaharama,6.2765,81.2865,Sri Lanka,79618.0
Akiruno,35.7289,139.2941,Japan,79600.0
Polatsk,55.4833,28.8,Belarus,79579.0
Ust’-Ilimsk,58.0,102.6667,Russia,79570.0
Patikul,6.07,121.1,Philippines,79564.0
Ezpeleta,-34.7517,-58.2344,Argentina,79557.0
Banī Mazār,28.5036,30.8003,Egypt,79553.0
Bugulma,54.5364,52.7975,Russia,79545.0
Vila do Conde,41.35,-8.75,Portugal,79533.0
Krasnyi Luch,48.1333,38.9333,Ukraine,79533.0
Khrustalnyi,48.1333,38.9333,Ukraine,79533.0
Cianorte,-23.6628,-52.605,Brazil,79527.0
Plymouth,45.0225,-93.4617,United States,79526.0
Belo Jardim,-8.3358,-36.4239,Brazil,79507.0
Viana,-20.3893,-40.4948,Brazil,79500.0
Eséka,3.65,10.7667,Cameroon,79500.0
Xai,20.6914,101.9861,Laos,79500.0
Döşemealtı,37.0236,30.6011,Turkey,79495.0
Robles,10.35,123.07,Philippines,79492.0
São Roque,-23.5289,-47.135,Brazil,79484.0
San Martín,-33.0806,-68.4706,Argentina,79476.0
Torres Vedras,39.0833,-9.2667,Portugal,79465.0
Chibemba,15.0,46.0,Angola,79462.0
Langarūd,37.1911,50.1556,Iran,79445.0
Senhor do Bonfim,-10.4614,-40.1894,Brazil,79424.0
Medenine,33.3547,10.5053,Tunisia,79406.0
Afgooye,2.1381,45.1212,Somalia,79400.0
Turlock,37.5053,-120.8588,United States,79394.0
Viçosa,-20.7539,-42.8819,Brazil,79388.0
Dudley,52.508,-2.089,United Kingdom,79379.0
San Isidro,14.4685,121.0118,Philippines,79372.0
Iwamizawa,43.2,141.7833,Japan,79361.0
Davis,38.5553,-121.737,United States,79355.0
Perris,33.7898,-117.2233,United States,79349.0
Mangatarem,15.7874,120.2921,Philippines,79323.0
Ban Talat Rangsit,13.9833,100.6167,Thailand,79319.0
Caçador,-26.7753,-51.015,Brazil,79313.0
Phuket,7.8881,98.3975,Thailand,79308.0
Owendo,0.2912,9.5047,Gabon,79300.0
Schiedam,51.9167,4.4,Netherlands,79279.0
Ban Nong Prue,12.9228,100.9375,Thailand,79258.0
Drummondville,45.8833,-72.4833,Canada,79258.0
Viersen,51.2561,6.3972,Germany,79250.0
Natori-shi,38.1715,140.8918,Japan,79250.0
Kawartha Lakes,44.35,-78.75,Canada,79247.0
Lisala,2.1486,21.5136,Congo (Kinshasa),79235.0
Évosmos,40.6689,22.9083,Greece,79221.0
Warzat,30.9167,-6.9167,Morocco,79218.0
Tatvan,38.5022,42.2814,Turkey,79214.0
Ciudad Lázaro Cárdenas,17.9561,-102.1922,Mexico,79200.0
Jaen,15.3392,120.9069,Philippines,79189.0
Jonesboro,35.8212,-90.6791,United States,79187.0
Dobni Para,22.8347,74.2556,India,79185.0
Carmen,7.2,124.78,Philippines,79140.0
Ceará-Mirim,-5.6339,-35.4258,Brazil,79115.0
Tīkamgarh,24.7472,78.85,India,79106.0
Ikom,6.0833,8.6167,Nigeria,79103.0
Tustin,33.7311,-117.8107,United States,79035.0
Būmahen,35.7322,51.8672,Iran,79034.0
Bahārestān,32.4867,51.7808,Iran,79023.0
Arāria,26.15,87.52,India,79021.0
Cuamba,-14.82,36.5486,Mozambique,79013.0
Huaral,-11.5,-77.2,Peru,79011.0
Madīnat as Sādāt,30.4182,30.5747,Egypt,79000.0
Pèrèrè,9.7994,2.9928,Benin,78988.0
Delmenhorst,53.0506,8.6317,Germany,78979.0
Türkoğlu,37.3914,36.8522,Turkey,78976.0
Alfenas,-21.4289,-45.9469,Brazil,78970.0
Sougueur,35.1833,1.5,Algeria,78956.0
Terre Haute,39.466,-87.3751,United States,78940.0
Upland,34.1178,-117.6604,United States,78940.0
Nakatsugawa,35.4876,137.5006,Japan,78930.0
Caraguatatuba,-23.62,-45.4128,Brazil,78921.0
New Westminster,49.2069,-122.9111,Canada,78916.0
Tiko,4.075,9.36,Cameroon,78885.0
Sesto San Giovanni,45.5333,9.2333,Italy,78884.0
Bistriţa,47.1333,24.5,Romania,78877.0
Kouvola,60.8681,26.7042,Finland,78824.0
Georgetown,30.666,-97.6966,United States,78803.0
Subulussalam,2.6422,98.0042,Indonesia,78801.0
Tambacounda,13.7689,-13.6672,Senegal,78800.0
Dome,5.65,-0.2361,Ghana,78785.0
Tierralta,7.9167,-76.1667,Colombia,78770.0
Zarzis,33.5,11.1167,Tunisia,78766.0
Maizuru,35.4667,135.3833,Japan,78730.0
Bury,53.593,-2.298,United Kingdom,78729.0
Eastleigh,50.9667,-1.35,United Kingdom,78716.0
Elbasan,41.1111,20.0806,Albania,78703.0
Pagbilao,13.972,121.687,Philippines,78700.0
Villa Celina,-34.7167,-58.4833,Argentina,78699.0
Ra’s al Khafjī,28.4237,48.5091,Saudi Arabia,78691.0
Alīgūdarz,33.4025,49.6903,Iran,78690.0
Zaandam,52.4333,4.8333,Netherlands,78682.0
Mooka,36.4404,140.0134,Japan,78665.0
Formosa,-15.5369,-47.3339,Brazil,78651.0
Arlit,18.7333,7.3833,Niger,78651.0
Skarżysko-Kamienna,51.1167,20.9167,Poland,78636.0
Dabakala,8.3667,-4.4333,Côte d’Ivoire,78634.0
Moju,-1.8839,-48.7689,Brazil,78629.0
Pau,43.3,-0.37,France,78620.0
Curepipe,-20.3188,57.5263,Mauritius,78618.0
Dongchuan,25.4765,101.2847,China,78611.0
Hengbei,23.8787,115.7309,China,78575.0
Kuvango,-14.4667,16.3,Angola,78543.0
Texarkana,33.45,-94.0847,United States,78541.0
Brixton,51.4575,-0.1175,United Kingdom,78536.0
Kendall,25.6697,-80.3556,United States,78527.0
Taher,36.7719,5.8983,Algeria,78500.0
Gyōda,36.1389,139.4556,Japan,78488.0
Sahuayo de Morelos,20.05,-102.7333,Mexico,78477.0
Ijuí,-28.3878,-53.915,Brazil,78461.0
Aveiro,40.6389,-8.6553,Portugal,78450.0
Bauang,16.53,120.33,Philippines,78449.0
Pasco,46.2506,-119.1305,United States,78446.0
Dinga,32.641,73.7243,Pakistan,78422.0
Estepona,36.4264,-5.1472,Spain,78413.0
Iperu,6.9143,3.6632,Nigeria,78412.0
Varese,45.8167,8.8333,Italy,78409.0
Arkonam,13.0778,79.6667,India,78395.0
Kuznetsk,53.1167,46.6,Russia,78390.0
Champigny-sur-Marne,48.8172,2.5156,France,78367.0
Samadiāla,21.337,71.31,India,78354.0
Bandar-e Emām Khomeynī,30.5491,49.0586,Iran,78353.0
Bandar Emām,30.5058,49.0742,Iran,78353.0
Três Rios,-22.1169,-43.2089,Brazil,78346.0
Kashiba,34.5414,135.6992,Japan,78346.0
Barreiro,38.6631,-9.0725,Portugal,78345.0
Denov,38.2667,67.9,Uzbekistan,78300.0
Pototan,10.95,122.63,Philippines,78298.0
Qorveh,35.1678,47.8008,Iran,78276.0
Queluz,38.7566,-9.2545,Portugal,78273.0
Limay,14.5619,120.5983,Philippines,78272.0
Bamban,15.2742,120.5669,Philippines,78260.0
Manbij,36.5266,37.9563,Syria,78255.0
Yuanshan,24.3733,114.4856,China,78254.0
Pingyi,35.5104,117.62,China,78254.0
Southall,51.5111,-0.3756,United Kingdom,78253.0
Huolu,38.0874,114.3159,China,78250.0
San Pedro Pinula,14.6667,-89.85,Guatemala,78244.0
Rheine,52.2833,7.4333,Germany,78220.0
Péhonko,10.2283,2.0019,Benin,78217.0
Milpitas,37.4336,-121.8921,United States,78216.0
Sankt Gallen,47.4233,9.3772,Switzerland,78213.0
Marburg,50.81,8.7708,Germany,78203.0
Argao,9.88,123.6,Philippines,78187.0
Al Khānkah,30.2104,31.3681,Egypt,78185.0
Joensuu,62.6,29.75,Finland,78175.0
Tanashichō,35.7275,139.5489,Japan,78165.0
Chitembo,-13.5138,16.7541,Angola,78156.0
Chitemo,-13.5167,16.7667,Angola,78156.0
Macabebe,14.9081,120.7156,Philippines,78151.0
Kuacjok,8.3028,27.98,South Sudan,78111.0
Faranah,10.0333,-10.7333,Guinea,78108.0
Carmichael,38.6318,-121.3263,United States,78070.0
Baracoa,20.3444,-74.4956,Cuba,78056.0
Kizugawa,34.7372,135.82,Japan,78035.0
Chino Hills,33.9508,-117.7254,United States,78024.0
Godāwari̇̄,28.91,80.59,Nepal,78018.0
Vsevolozhsk,60.0333,30.6667,Russia,78011.0
Balqash,46.8481,74.995,Kazakhstan,78002.0
Colón,9.365,-79.875,Panama,78000.0
Tanuku,16.7566,81.677,India,77962.0
Narra,9.28,118.42,Philippines,77948.0
Koch Bihār,26.3242,89.451,India,77935.0
Maumere,-8.6222,122.2122,Indonesia,77909.0
Chengbin,19.9969,110.3375,China,77904.0
Honjō,36.2436,139.1904,Japan,77900.0
Pakxé,15.1167,105.7833,Laos,77900.0
Toyomamachi-teraike,38.6918,141.1877,Japan,77897.0
Fray Bartolomé de Las Casas,15.8456,-89.8658,Guatemala,77896.0
Novouralsk,57.25,60.0833,Russia,77894.0
Flower Mound,33.0343,-97.1146,United States,77886.0
Hoofddorp,52.3061,4.6907,Netherlands,77885.0
Flagstaff,35.1872,-111.6194,United States,77868.0
Villa Victoria,19.4333,-100.0,Mexico,77819.0
Daugavpils,55.8714,26.5161,Latvia,77799.0
Linkou,45.2819,130.2519,China,77754.0
Birkhadem,36.7167,3.05,Algeria,77749.0
Kuniyamuttūr,10.9638,76.9525,India,77748.0
Kortrijk,50.8275,3.2658,Belgium,77741.0
Kambam,9.7375,77.2823,India,77736.0
Bir el Ater,34.7497,8.0578,Algeria,77727.0
Brikama,13.2667,-16.65,"Gambia, The",77700.0
Kineshma,57.4333,42.1333,Russia,77694.0
Beyşehir,37.6764,31.7261,Turkey,77690.0
Ukunda,-4.2929,39.564,Kenya,77686.0
Huebampo,26.7228,-109.4856,Mexico,77682.0
Benalmádena,36.6,-4.5167,Spain,77654.0
Hasselt,50.9304,5.3383,Belgium,77651.0
Bebedouro,-20.9494,-48.4792,Brazil,77627.0
Aksu,36.95,30.85,Turkey,77623.0
Nitra,48.3147,18.0875,Slovakia,77610.0
Lipjan,42.5217,21.1258,Kosovo,77605.0
Alton,38.9037,-90.152,United States,77583.0
Bodhan,18.67,77.9,India,77573.0
Santa Rosa,-27.8708,-54.4814,Brazil,77519.0
Zhongcheng,28.5973,103.9773,China,77514.0
Lüneburg,53.2525,10.4144,Germany,77511.0
Santa Catalina,9.3331,122.8658,Philippines,77501.0
Pleasanton,37.6663,-121.8805,United States,77500.0
Molina de Segura,38.0548,-1.2131,Spain,77493.0
Stellenbosch,-33.9367,18.8614,South Africa,77476.0
Cedar Park,30.5105,-97.8197,United States,77474.0
Çatalca,41.1417,28.4631,Turkey,77468.0
Hermosa,14.83,120.5,Philippines,77443.0
Blagoevgrad,42.0227,23.0975,Bulgaria,77441.0
Perote,19.5619,-97.2419,Mexico,77432.0
Mengla,21.4686,101.5507,China,77425.0
Katano,34.7833,135.6833,Japan,77401.0
Bellflower,33.888,-118.1271,United States,77396.0
San Luis,16.1989,-89.4403,Guatemala,77395.0
São João da Boa Vista,-21.9689,-46.7978,Brazil,77387.0
Tsubame,37.6731,138.8822,Japan,77382.0
Loveland,40.4166,-105.0623,United States,77350.0
Bor,56.35,44.0833,Russia,77320.0
Tirkākara,10.035,76.329,India,77319.0
Quatre Bornes,-20.2654,57.4791,Mauritius,77308.0
Jelenia Góra,50.9033,15.7344,Poland,77305.0
Puli,23.9667,120.9667,Taiwan,77299.0
Caxito,-8.58,13.6642,Angola,77276.0
Latacunga,-0.9319,-78.6161,Ecuador,77267.0
Fnidq,35.85,-5.35,Morocco,77250.0
Ban Tha Khlong,14.0894,100.6236,Thailand,77243.0
Cozumel,20.5104,-86.9493,Mexico,77236.0
Paisley,55.8456,-4.4239,United Kingdom,77220.0
Pattoki,31.0167,73.85,Pakistan,77210.0
Harunabad,29.6097,73.1378,Pakistan,77206.0
Aş Şuwayrah,32.9256,44.7758,Iraq,77200.0
Roosendaal,51.5314,4.4556,Netherlands,77200.0
Bustos,14.95,120.92,Philippines,77199.0
Ukhta,63.5667,53.7,Russia,77187.0
Kabacan,7.12,124.82,Philippines,77164.0
Fukuchiyama,35.3,135.1333,Japan,77150.0
Shūsh,32.1947,48.2475,Iran,77148.0
Mansfield,40.7656,-82.5275,United States,77137.0
Mérignac,44.8386,-0.6436,France,77136.0
Chalándri,38.0167,23.8,Greece,77102.0
Hammond,41.6168,-87.4909,United States,77098.0
Umingan,15.9289,120.8419,Philippines,77074.0
Bethlehem,40.6266,-75.3679,United States,77069.0
Tecamachalco,18.8667,-97.7167,Mexico,77061.0
Guildford,51.2365,-0.5703,United Kingdom,77057.0
Nikkō,36.7198,139.6982,Japan,77027.0
Talakag,8.2319,124.6025,Philippines,77027.0
Nabari,34.6276,136.1084,Japan,77022.0
Balagtas,14.8145,120.9085,Philippines,77018.0
Toyooka,35.55,134.8167,Japan,77005.0
Balkh,36.7581,66.8981,Afghanistan,77000.0
Bongabong,12.7469,121.4881,Philippines,76973.0
Çınar,37.7242,40.415,Turkey,76966.0
Woodbury,44.9057,-92.923,United States,76945.0
Nagua,19.38,-69.85,Dominican Republic,76933.0
Alcalá de Guadaira,37.3333,-5.85,Spain,76922.0
Berbérati,4.2614,15.7894,Central African Republic,76918.0
Santo Ângelo,-28.2989,-54.2628,Brazil,76917.0
Ébolowa,2.9167,11.15,Cameroon,76885.0
Alameda,37.7668,-122.267,United States,76876.0
Valença,-22.2456,-43.7003,Brazil,76869.0
Wyoming,42.8908,-85.7066,United States,76865.0
Mao,19.5667,-71.0833,Dominican Republic,76863.0
Zhlobin,52.9,30.0333,Belarus,76844.0
Dorsten,51.66,6.9642,Germany,76842.0
Baj Baj,22.4737,88.1739,India,76837.0
Chatham,51.37,0.52,United Kingdom,76792.0
Surt,31.205,16.5886,Libya,76788.0
Schaumburg,42.0308,-88.0838,United States,76780.0
El Viejo,12.6667,-87.1667,Nicaragua,76775.0
Usta Muhammad,28.1783,68.0431,Pakistan,76753.0
Yalta,44.4994,34.17,Ukraine,76746.0
Pyapon,16.286,95.6658,Burma,76741.0
Palencia,42.0167,-4.5333,Spain,76738.0
Maricá,-22.9189,-42.8189,Brazil,76737.0
Atambua,-9.1061,124.8925,Indonesia,76732.0
Ilioúpoli,37.9333,23.75,Greece,76730.0
Prince George,53.9169,-122.7494,Canada,76708.0
Mafra,38.9333,-9.3333,Portugal,76685.0
Yenakiieve,48.2167,38.2,Ukraine,76673.0
Nipāni,16.399,74.3829,India,76666.0
Tacámbaro de Codallos,19.2356,-101.4569,Mexico,76661.0
Castle Rock,39.3763,-104.8535,United States,76614.0
Antibes,43.5808,7.1239,France,76612.0
Aira,31.7283,130.6278,Japan,76610.0
Caledon,43.8667,-79.8667,Canada,76581.0
Cotuí,19.06,-70.15,Dominican Republic,76554.0
Evanston,42.0464,-87.6943,United States,76552.0
Tianguá,-3.7322,-40.9917,Brazil,76537.0
Daxincun,38.4428,106.3111,China,76536.0
Dschang,5.45,10.0667,Cameroon,76524.0
Virac,13.58,124.23,Philippines,76520.0
Mahdia,35.5,11.0667,Tunisia,76513.0
Troisdorf,50.8161,7.1556,Germany,76503.0
Trinidad,21.8019,-79.9842,Cuba,76500.0
Fāzilka,30.403,74.025,India,76492.0
Abéché,13.8331,20.8347,Chad,76492.0
Doral,25.8152,-80.3565,United States,76490.0
St. Joseph,39.7598,-94.821,United States,76484.0
Khemis el Khechna,36.65,3.3306,Algeria,76474.0
Funing,39.8879,119.2314,China,76460.0
Armant,25.6167,32.5333,Egypt,76457.0
Al Musayyib,32.7786,44.29,Iraq,76454.0
Paragominas,-2.995,-47.3528,Brazil,76450.0
Shinkai,35.8367,139.5803,Japan,76445.0
Ozërsk,55.75,60.7167,Russia,76434.0
Ibiúna,-23.6564,-47.2225,Brazil,76432.0
Kafr az Zayyāt,30.8248,30.818,Egypt,76413.0
Paysandú,-32.3214,-58.0756,Uruguay,76412.0
Valdosta,30.8502,-83.2788,United States,76393.0
Crateús,-5.1778,-40.6778,Brazil,76390.0
Wausau,44.962,-89.6459,United States,76386.0
Pocatello,42.8724,-112.4647,United States,76370.0
Ninh Hòa,12.4917,109.1258,Vietnam,76368.0
Elizabethtown,37.7031,-85.8773,United States,76363.0
Siedlce,52.165,22.2714,Poland,76357.0
Sasolburg,-26.8142,27.8286,South Africa,76349.0
Melton,-37.6833,144.5833,Australia,76346.0
Pozzuoli,40.8231,14.1222,Italy,76331.0
Shājāpur,23.4264,76.2778,India,76319.0
So-Awa,6.4667,2.4167,Benin,76315.0
Wilhelmshaven,53.5286,8.1056,Germany,76247.0
Palmerston North,-40.3549,175.6095,New Zealand,76236.0
Anniston,33.6712,-85.8135,United States,76228.0
Arlington Heights,42.0955,-87.9826,United States,76220.0
Padre Hurtado,-33.5667,-70.8333,Chile,76219.0
Palo,11.1583,124.9917,Philippines,76213.0
Keshod,21.3,70.25,India,76193.0
East Ham,51.5323,0.0554,United Kingdom,76186.0
Infanta,14.7425,121.6494,Philippines,76186.0
Daisen,39.4531,140.4754,Japan,76164.0
Nahāvand,34.1928,48.3731,Iran,76162.0
Bender,46.8333,29.4833,Moldova,76158.0
Knysna,-34.0356,23.0489,South Africa,76150.0
Weston-super-Mare,51.346,-2.977,United Kingdom,76143.0
Montepuez,-13.1167,39.0,Mozambique,76139.0
Esteio,-29.8608,-51.1789,Brazil,76137.0
Padre Las Casas,-38.7667,-72.6,Chile,76126.0
Kahror Pakka,29.6236,71.9167,Pakistan,76098.0
Oleksandriia,48.6667,33.1167,Ukraine,76097.0
Lins,-21.6786,-49.7425,Brazil,76092.0
Fancheng,39.1891,113.2729,China,76088.0
Rochester Hills,42.6645,-83.1563,United States,76086.0
San Ramón de la Nueva Orán,-23.1333,-64.3333,Argentina,76070.0
Chintāmani,13.4,78.066,India,76068.0
Ryūgasaki,35.9116,140.1823,Japan,76055.0
Manaoag,16.0439,120.4856,Philippines,76045.0
Southfield,42.4765,-83.2605,United States,76025.0
Banská Bystrica,48.7353,19.1453,Slovakia,76018.0
Saint-Maur-des-Fossés,48.7994,2.4997,France,76010.0
Shkodër,42.0681,19.5119,Albania,76000.0
Merouana,35.6333,5.9167,Algeria,76000.0
Yanam,16.7333,82.2167,India,76000.0
Sakon Nakhon,17.1564,104.1456,Thailand,76000.0
Tailai,46.3909,123.4161,China,75992.0
Toba Tek Singh,30.9711,72.4825,Pakistan,75943.0
Villa Elisa,-25.3734,-57.5841,Paraguay,75933.0
Şırnak,37.52,42.459,Turkey,75932.0
Daytona Beach,29.1995,-81.0982,United States,75924.0
Ciudad Real,38.9833,-3.9167,Spain,75909.0
Rulin,26.3585,110.3117,China,75900.0
Châteauguay,45.38,-73.75,Canada,75891.0
Catacaos,-5.2653,-80.675,Peru,75870.0
Pittsburg,38.0182,-121.8965,United States,75868.0
Kengtung,21.2917,99.6083,Burma,75865.0
Oshkosh,44.0227,-88.5619,United States,75850.0
Espinal,4.2,-74.8333,Colombia,75828.0
Gladbeck,51.5667,6.9667,Germany,75799.0
Pilar,12.9244,123.6756,Philippines,75793.0
Surendranagar,22.7,71.6833,India,75755.0
Paranavaí,-23.0728,-52.465,Brazil,75750.0
Malappuram,11.042,76.0815,India,75740.0
Kargilik,37.885,77.4131,China,75730.0
Keratsíni,37.9667,23.6167,Greece,75721.0
Cadereyta Jiménez,25.6,-100.0,Mexico,75721.0
Redmond,47.6763,-122.1169,United States,75721.0
Laiyuan,39.3478,114.6808,China,75701.0
Lod,31.95,34.9,Israel,75700.0
Xaignabouli,19.25,101.75,Laos,75700.0
Maghāghah,28.6483,30.8422,Egypt,75657.0
Santa Rosa,15.4239,120.9389,Philippines,75649.0
Sapiranga,-29.6378,-51.0069,Brazil,75648.0
Hoorn,52.65,5.0667,Netherlands,75645.0
Cherry Hill,39.9034,-74.9947,United States,75641.0
San Pedro,-33.6792,-59.6669,Argentina,75616.0
Arjona,10.2586,-75.3461,Colombia,75615.0
Saratoga Springs,43.0674,-73.7775,United States,75599.0
Jocotán,14.8167,-89.3833,Guatemala,75578.0
Aïn Temouchent,35.3,-1.1333,Algeria,75558.0
Garhi,28.6317,77.3186,India,75544.0
Cataguases,-21.3892,-42.6967,Brazil,75540.0
Jablah,35.3621,35.9276,Syria,75505.0
Ramla,31.9275,34.8625,Israel,75500.0
Três Corações,-21.6947,-45.2553,Brazil,75485.0
Apple Valley,34.5352,-117.2109,United States,75478.0
Carlisle,54.8947,-2.9364,United Kingdom,75399.0
Mansfield,32.569,-97.1213,United States,75398.0
Srīvilliputtūr,9.512,77.633,India,75396.0
Kiyose,35.7857,139.5265,Japan,75389.0
Xinglong,40.4146,117.493,China,75381.0
Bhadarwāh,32.98,75.7137,India,75376.0
Rānāghāt,23.18,88.58,India,75365.0
Avilés,43.5561,-5.9083,Spain,75351.0
Cheria,35.2667,7.75,Algeria,75344.0
Ajaccio,41.9267,8.7369,France,75343.0
South Shields,54.995,-1.43,United Kingdom,75337.0
Kai,35.6608,138.5158,Japan,75337.0
Bonāb,37.3383,46.0539,Iran,75332.0
Villa Carlos Paz,-31.4,-64.5167,Argentina,75315.0
Ekpé,6.4,2.5333,Benin,75313.0
Pawtucket,41.8744,-71.3743,United States,75280.0
Landshut,48.5397,12.1508,Germany,75272.0
Ardakān,32.3094,54.0186,Iran,75271.0
Acacías,3.9878,-73.7597,Colombia,75252.0
Frontera,26.926,-101.449,Mexico,75242.0
Itapira,-22.4361,-46.8217,Brazil,75234.0
Missouri City,29.563,-95.5365,United States,75234.0
Nek’emtē,9.0833,36.55,Ethiopia,75219.0
Paracatu,-17.2217,-46.875,Brazil,75216.0
Moussoro,13.6431,16.4919,Chad,75210.0
Erbaa,40.6744,36.5681,Turkey,75210.0
